acc. date,type,reg.,operator,fat.,location,dmg
26-Feb-19,Gulfstream G200 Galaxy,4K-AZ88,Silk Way Business Aviation,0,Moskva-Sheremetyevo Airport (SVO),sub
22-Jan-19,Boeing 737-8LJ (WL),VP-BRR,Aeroflot Russian International Airlines,0,Khanty-Mansiysk International Airport (HMA),non
12-Jan-19,Boeing 737-524 (WL),VQ-BJP,UTair Aviation,0,Moskva-Vnukovo Airport (VKO),sub
20-Nov-18,Boeing 737-8LJ (WL),VP-BCG,Aeroflot,0+1,Moskva-Sheremetyevo Airport (SVO/UUEE),min
8-Nov-18,Antonov An-2R,RA-84674,2nd Arkhangelsk United Aviation Division,0,50 km NE of Arkhangelsk-Talaghy Airport (ARH),w/o
10-Oct-18,Sukhoi Superjet 100-95B,RA-89011,Yakutia Airlines,0,Yakutsk Airport (YKS),sub
1-Sep-18,Boeing 737-8AS (WL),VQ-BJI,Utair,0,Adler/Sochi Airport (AER),w/o
30-Jul-18,Antonov An-2SX,RA-40649,private,0,"Evenki district, Krasnoyarsk Krai",sub
27-Jun-18,Antonov An-2R,RA-62524,Feniks,0,"Nizhneudinsk, Irkutsk region",sub
11-Feb-18,Antonov An-148-100B,RA-61704,Saratov Airlines,71,"near Stepanovskoye, Ramenskoye district",w/o
19-Dec-17,Antonov TVS-2MS,RA-01460,Naryan-Mar Air Enterprise,4,Naryan-Mar Airport (NNM),w/o
15-Nov-17,Let L-410UVP-E20,RA-67047,Khabarovsk Avia,6,"1,2 km SSW of Nelkan Airport",w/o
7-Nov-17,Antonov An-2,RA-02305,DalTransAero,1,"Ekimchan, Amur region",w/o
2-Sep-17,Antonov TR-301,RA-40462,Polemaks,0,"near Turinskaya Sloboda, Sverdlovsk region",sub
2-Sep-17,Antonov An-2V,RA-35171,private,2,Chernoye Airport,w/o
26-Aug-17,Antonov An-2R,RA-33036,Aviakompaniya Feniks,0,"75 km W of Yeniseisk, Krasnoyarsk Territory",sub
27-Jul-17,Antonov An-2R,RA-40908,Aviation Technical Center Virazh,0,"1,7 km N of Poltavskaya, Krasnoarmeysky district",sub
30-May-17,Antonov An-26,RF-36160,Russian Air Force,1,Balashov Airfield,w/o
25-Dec-16,Tupolev Tu-154B-2,RA-85572,Russian Air Force,92,"1,6 km SW off Adler",w/o
19-Dec-16,Ilyushin Il-18V,RF-91821,Russian Air Force,0,29 km NW of Tiksi Airport (IKS),w/o
11-Oct-16,Antonov An-26-100,RA-26660,Polyarnaya Aviatsiya,0,"0,3 km from Belaya Gora Airport (BGN)",sub
17-Sep-16,Antonov An-2R,RA-84566,"Technoservice-A, lsf Aviapartner",0,"5,5 km S of Tatarskoye Uraykino, Ulyanovsk region",sub
24-Aug-16,Tupolev Tu-204S,RA-64021,Aviastar-TU,0,Noril'sk Airport (NSK),sub
11-Aug-16,Antonov An-2R,RA-17812,ALROSA,0,Polyarnyj Airport (PYJ),sub
31-Jul-16,Antonov An-2R,RA-54790,Lemaks,3,"29 km E of Zelenogorskiy, Kemerovo Region",w/o
1-Jul-16,Ilyushin Il-76TD,RA-76840,Russian Ministry of Emergency Situations,10,"9 km ESE Rybnyi Uyan, Kachug region",w/o
30-Jun-16,Antonov An-2SX,RA-33462,Krasnokutske Flight School of Civil Aviation,2,"2 km from Novopokrovskoye, Balashov district",w/o
5-Jun-16,British Aerospace BAe-125-800B,RA-02773,Aerolimousine,0,18 km W of Neryungri Airport (NER),sub
14-Apr-16,Antonov An-2,,Unknown,1,"Maryevka, Pestravsky district",w/o
3-Apr-16,Antonov An-2R,RA-54828,Technoservice-A,0,"1 km E of Aksarino, Zainsky district",sub
29-Mar-16,Antonov An-26RT,09 blue,Russian Air Force,0,Rostov Airport (ROV),sub
19-Mar-16,Boeing 737-8KN (WL),A6-FDN,flydubai,62,Rostov Airport (ROV),w/o
6-Feb-16,Antonov An-2R,RA-40204,Light Air,3,"Gay, Orenburg Oblast",w/o
16-Sep-15,Antonov An-2R,RA-35141,Yenisei Airline,0,60 km NE of Bratsk,sub
31-Aug-15,Antonov An-30D,RA-30007,Lukiaviatrans,0,Keperveyem Airport,sub
31-Jul-15,Embraer EMB-120ER Brasilia,VQ-BBX,RusLine,0,Moskva-Domodedovo Airport (DME),w/o
17-Jul-15,Antonov An-12BK,RF-94291,Russian Air Force,0,Chelyabinsk Airport (CEK),sub
19-Jun-15,Antonov An-2R,RA-40646,Vostok Aviakompania,0,"near Kezhma, Kezhemsk district, Krasnoyarsk Territory",sub
15-Jun-15,Antonov An-2R,RA-84553,Vodoley LLC,0,"Tatsinsky district, Rostov Oblast",w/o
18-May-15,Antonov An-2R,RA-56528,private,0,"Sanamer, Stavropol Territory",sub
10-May-15,Antonov An-2,RF-01159,"DOSAAF, Rostov ATSK",0,"Azov district, Rostov Oblast",w/o
31-Mar-15,Antonov An-2T,RF-00388,DOSAAF,0,Makhachkala Airport (MCX),w/o
18-Feb-15,Tupolev Tu-154B-2,RA-85587,Russian Air Force,0,Samara Airport (KUF),w/o
3-Jan-15,Antonov An-26B-100,RA-26082,KAPO Avia,0,Magadan-Sokol Airport (GDX),sub
25-Nov-14,Beechcraft B300 King Air 350,RA-02778,Air Samara,0,Samara-Kurumoch International Airport (KUF),sub
20-Oct-14,Dassault Falcon 50EX,F-GLSA,Unijet,4,Moskva-Vnukovo Airport (VKO),w/o
24-Sep-14,Antonov An-2,RA-02322,2nd Arkhangelsk United Aviation Division,0,Shoyna Airport,sub
6-Aug-14,Antonov An-2R,RA-17890,Yug Line,0,"2 km E of Prototskiye, Krasnoarmeysky district, Krasnodar Krai",w/o
7-Jul-14,British Aerospace BAe-125-800B,RA-02806,Sirius-Aero,0,Moskva-Vnukovo Airport (VKO),sub
7-Jun-14,Antonov An-2,RF-02883,private,1,"near Rybinsk, Yaroslavl region",w/o
3-Jun-14,Ilyushin Il-96-300,RA-96010,Aeroflot Russian International Airlines,0,Moskva-Sheremetyevo Airport (SVO),w/o
9-May-14,Antonov An-2T,RF-00446,"Lipetsk Aero Club, lsf DOSAAF",0,"Terbuny, Lipetsk region",w/o
12-Feb-14,British Aerospace BAe-125-700B,RA-02801,Sirius-Aero,0,Moskva-Vnukovo Airport (VKO),sub
6-Feb-14,Viking Air DHC-6 Twin Otter 400,RA-67282,Chukotavia,0,Anadyr Airport (DYR),sub
22-Jan-14,Antonov An-24RV,RA-46473,Pskovavia,0,Moskva-Domodedovo Airport (DME),w/o
26-Dec-13,Antonov An-12,12162,Irkut,9,ca 1 km NW of Irkutsk-2 Airport,sub
17-Nov-13,Boeing 737-53A,VQ-BBN,Tatarstan Airlines,50,Kazan International Airport (KZN),w/o
26-Oct-13,Antonov An-2,unreg.,private,2,"Tayozhny, Krasnoyarsk region, East Siberia",w/o
6-Oct-13,Antonov An-2,RA-31505,Sputnik,0,"Sevryukova, Belgorod region",w/o
18-Sep-13,Antonov An-2R,RA-33017,"Taksavia, lsf Sosvapromgeologiya",0,48 km W of Nyagan,sub
7-Sep-13,Canadair CL-600-2B19 Regional Jet CRJ-200ER,TC-EJA,"Europe Jet, lsf MNG Jet",0,Moskva-Vnukovo Airport (VKO),sub
16-Aug-13,Antonov An-2TP,RA-01419,Polyarnye Avialinii,0,26 km NW of Vilyuisk,w/o
28-Jul-13,Antonov An-2,FLA-3618K,private,0,"0,5 km from Shakhty Airport",w/o
28-Jun-13,Antonov An-2,RF-00408,DOSAAF,0,near Nekrasovka,w/o
15-May-13,Antonov An-2R,RA-31403,Aviakompanija Annushka,1,"11 km N of Chernolesskoye, Novoselitskiy rayon, Stavropol",w/o
23-Mar-13,Antonov An-2R,RA-02203,Yug Line,1,"3 km N of Vostochnaya, Ust'-Labinsk region, Krasnodarskiy kray",w/o
2-Mar-13,Antonov An-2T,RF-01024,DOSAAF,0,2 km from Rybinsk Airport (RYB),sub
29-Dec-12,Tupolev Tu-204-100V,RA-64047,Red Wings Airlines,5,Moskva-Vnukovo Airport (VKO),w/o
25-Nov-12,Antonov An-2R,RA-33589,Aeroclub Maestro,1,Yugorsk-2 Airfield,w/o
21-Nov-12,Antonov An-26B-100,RA-26061,Polyarnye Avialinii,0,Deputatskiy Airport,sub
xx Sep 2012,Antonov An-2R,RA-40220,SHP Dmitrievsky,0,"Dmitrievskaya, Krasnodar region",sub
29-Sep-12,Antonov An-2R,RA-33601,Plant ELKAP,0,"23 km N of Ivdel, Sverdlovsk region",min
12-Sep-12,Antonov An-28,RA-28715,Petropavlovsk-Kamchatsky Air Enterprise,10,11 km SW of Palana Airport,w/o
22-Jul-12,Let L-410UVP-E3,RF-00138,DOSAAF,1,Bolshoe Gryzlovo Airport,sub
19-Jul-12,Antonov An-2R,RA-40934,Dalnevostochnaya,0,"Elban, Amur region",w/o
27-Jun-12,Ilyushin Il-76MD,RA-76761,Russian Air Force,0,Tver-Migalovo Airport (KLD),sub
11-Jun-12,Antonov An-2R,RA-40312,Avia Zov,13,"10 km SW of Serov, Sverdlovsk region",w/o
2-Apr-12,ATR 72-201,VP-BYZ,UTair Aviation,33,"1,6 km SW of Tyumen Airport (TJM)",w/o
22-Mar-12,Antonov An-2,FLA-1041K,private,0,"50 km N of Byelaya Kalitva, Rostov region",w/o
17-Feb-12,Let L-410UVP,RF-01152,DOSAAF,0,"Tanay Airfield, Kemerovo Oblast",sub
7-Feb-12,Antonov An-2R,RA-17771,AeroGeo,0,Kyzyl Airport (KYZ),w/o
14-Oct-11,Tupolev Tu-134A-3,RA-65143,Yamal Airlines,0,near Novy Urengoy Airport (NUX),w/o
9-Oct-11,Antonov An-2R,RA-81514,private,0,"near Zasovkaya, Krasnodar region",w/o
7-Sep-11,Yakovlev Yak-42D,RA-42434,YAK Service,44,1 km W of Yaroslavl-Tunoshna Airport (IAR),w/o
31-Aug-11,Antonov An-2T,RF-00844,DOSAAF,0,"200 km from Magan, Yakutsk region",sub
28-Aug-11,Antonov An-2R,RA-01105,Aviakompaniya Pilot,1,"3,2 km WSW of Neschadinovskaya, Krasnodar region",w/o
22-Aug-11,Antonov An-2,-,Sayanian Cedar,1,"Todzhi district, Tuva",w/o
9-Aug-11,Antonov An-12AP,RA-11125,"Avis-Amur, lsf KnAAPO",11,86 km SW of Omsukchan,w/o
8-Aug-11,Antonov An-24RV,RA-46561,IrAero,0,Blagoveshchensk Airport (BQS),sub
27-Jul-11,Antonov An-2R,RA-33046,Vostok-Zapad,0,Bichevaya,w/o
25-Jul-11,Antonov An-24RV,RA-46683,Katekavia,0,Chita Airport (HTA),sub
11-Jul-11,Antonov An-24RV,RA-47302,Angara Airlines,7,14 km SW of Strezhevoy,w/o
24-Jun-11,Antonov An-2R,RA-40420,Avialesookhrana,0,"near Beregovoy, Amur region",sub
20-Jun-11,Tupolev Tu-134A-3,RA-65691,"RusLine, lsf RusAir",47,1 km S of Petrozavodsk Airport (PES),w/o
17-Jun-11,Antonov An-2T,RF-00447,DOSAAF,0,Vladikavkaz Airport (OGZ),sub
17-May-11,Antonov An-2R,RA-68122,private,0,"Sofiyivka Ipatovsk district, Stavropol region",w/o
28-Apr-11,Embraer EMB-145EP (ERJ-145EP),UR-DNK,Dniproavia,0,Moskva-Sheremetyevo Airport (SVO),sub
16-Apr-11,Yakovlev Yak-40K,RA-88241,Petropavlovsk-Kamchatsky Air Enterprise,0,Ust-Kamchatsk Airport,sub
5-Mar-11,Antonov An-148-100E,61708,Voronezh Aircraft Production Association - VASO,6,"Garbuzovo, Belgorod region",w/o
1-Jan-11,Tupolev Tu-154B-2,RA-85588,Kolavia,3,Surgut Airport (SGC),w/o
28-Dec-10,Antonov An-22A,RA-09343,Russian Air Force,12,"near Krasny Oktyabr, Tula region",w/o
20-Dec-10,Antonov An-2TP,RA-07637,2nd Sverdlovsk Aviation Enterprise,0,Uktus Airport,w/o
20-Dec-10,Antonov An-2P,RA-07331,2nd Sverdlovsk Aviation Enterprise,0,Uktus Airport,w/o
14-Dec-10,Antonov An-24RV,RA-47305,Nordavia,0,Rogachevo Air Base,sub
4-Dec-10,Tupolev Tu-154M,RA-85744,Dagestan Airlines,2,Moskva-Domodedovo Airport (DME),w/o
2-Oct-10,Cessna 208B Grand Caravan,RA-67701,Veltal-Avia,0,"37 km W of Kirensk, Irkutsk region",sub
7-Sep-10,Tupolev Tu-154M,RA-85684,Alrosa Mirny Air Enterprise,0,Izhma Airport,sub
3-Aug-10,Antonov An-24RV,RA-46524,Katekavia,12,"0,4 km W of Igarka Airport (IAA)",w/o
21-Jul-10,Antonov An-12BK,RA-11376,Khabarovsk Avia,0,Keperveyem Airport,sub
27-Jun-10,Antonov An-2R,RA-62631,Vladimir Aviation Forest Protection,0,"near Voznesenskoye, Nizhny Novgorod region",w/o
12-May-10,Antonov An-2,,ROSTO Astrakhan,0,near Osypnoi Bugor village,w/o
6-May-10,Antonov An-2R,RA-40373,IE Batak SG,0,8 km S of Goryachy Klyuch,w/o
15-Apr-10,Antonov An-2,RF-00259,private,0,20 km from Saransk,w/o
10-Apr-10,Tupolev Tu-154M,101,Polish Air Force,96,ca 1 km E of Smolensk Air Base,w/o
30-Mar-10,Antonov An-74,RA-74017,Polartrans,0,Ivanovo-Severny Air Base,sub
22-Mar-10,Tupolev Tu-204-100,RA-64011,Aviastar-TU,0,2 km N of Moskva-Domodedovo Airport (DME),w/o
4-Feb-10,Antonov An-24RV,RA-47360,Yakutia Airlines,0,Yakutsk Airport (YKS),sub
7-Nov-09,Ilyushin Il-76MD,RA-86894,Russian Air Force,0,Ivanovo-Severny Air Base,w/o
1-Nov-09,Ilyushin Il-76MD,RF-76801,Russian Ministry of Interior,11,"1,9 km SW of Mirny Airport (MJZ)",w/o
13-Jun-09,Antonov An-2R,RF-00428,ROSTO Primorsk-Ahtarska,0,"20 km SE of Primorsko-Ahtarsk, Krasnodar region",w/o
30-Apr-09,Antonov An-2,RF-00842,Yakutsk ASK ROSTO,3,"Oi (Nemyugyuntsy), Yakutia",w/o
26-Mar-09,Tupolev Tu-134AK,RA-65981,Russian Air Force,0,Dolinsk-Sokol Air Base,w/o
11-Feb-09,Antonov An-2,10 yellow,Russian Air Force,0,near Pskov Airport (PKV),w/o
27-Jan-09,Cessna 560 Citation V,OE-GAA,Tyrol Air Ambulance,0,Novosibirsk-Tolmachevo Airport (OVB),sub
15-Jan-09,Ilyushin Il-76MD,RA-76827,Russian Ministry of Interior,0+4,Makhachkala Airport (MCX),sub
15-Jan-09,Ilyushin Il-76MD,RA-76825,Russian Ministry of Interior,4,Makhachkala Airport (MCX),w/o
6-Nov-08,Antonov An-2P,RA-40280,Naryan-Mar Air Enterprise,0,"20 km from Verkhnyaya Pesha, Arkhangelsk region",w/o
1-Oct-08,Boeing 737-3Y0,EI-DON,KD Avia,0,Kaliningrad-Khrabrovo Airport (KGD),sub
14-Sep-08,Boeing 737-505,VP-BKO,Aeroflot-Nord,88,"11,5 km NE of Perm Airport (PEE)",w/o
10-Sep-08,Antonov An-12B,RA-11652,Russian Air Force,0,Buturlinovka Air Base,sub
29-Aug-08,Antonov An-2R,RA-68126,Aero-Transit,0,"near Boguchany, Krasnoyarsk Krai",sub
30-Jun-08,Tupolev Tu-154M,RA-85667,Aeroflot Russian International Airlines,0,Saint Petersburg-Pulkovo Airport (LED),w/o
28-Jun-08,Antonov An-2,RF-00403,Armavir,0,6 km NE of Dmitrievskaya,w/o
27-Jun-08,Antonov An-2,RA-01132,Avialesookhrana,5,near Gryzlov,w/o
7-Jun-08,Antonov An-2R,RA-68068,private,2,Novoternovskiy,w/o
26-May-08,Antonov An-12BP,RA-12957,Moskovia Airlines,9,11 km W of Chelyabinsk Airport (CEK),w/o
20-May-08,Antonov An-2R,RA-84642,"Krasnoyarskaya Baza Lesoohrani, lsf Avialesookhrana",0,107 km from Boguchany,sub
21-Apr-08,Ilyushin Il-76M,RA-86833,Russian Air Force,0,Rogachevo Air Base,sub
10-Aug-07,Tupolev Tu-134AK,RA-65573,Russian Air Force,0,Moskva-Vnukovo Airport (VKO),sub
29-Jul-07,Antonov An-12BP,RA-93912,ATRAN-Aviatrans Cargo Airlines,7,4 km from Moskva-Domodedovo Airport (DME),w/o
17-Mar-07,Tupolev Tu-134A-3,RA-65021,UTair Aviation,6,Samara Airport (KUF),w/o
13-Feb-07,Canadair CL-600-2B19 Regional Jet CRJ-100SE,N168CK,FortAero Business Aviation,0,Moskva-Vnukovo Airport (VKO),w/o
26-Dec-06,Antonov An-2R,RA-33565,2nd Sverdlovsk Aviation Enterprise,0,"near Gari, Sverdlovskaya region",w/o
24-Aug-06,Let L-410UVP-E3,6,Russian Air Force,0,Rtishchevo Air Base,sub
9-Jul-06,Airbus A310-324,F-OGYP,S7 Airlines,125,Irkutsk Airport (IKT),w/o
3-May-06,Airbus A320-211,EK32009,Armavia,113,6 km SW off Adler/Sochi Airport (AER),w/o
23-Apr-06,Antonov An-2R,RF-00451,"ROSTO Shahty, lsf Yugavia",4,near Tersky,w/o
29-Mar-06,Ilyushin Il-62M,5A-DKR,"Libyan Government, opb Libavia",0,Moskva-Domodedovo Airport (DME),w/o
19-Nov-05,Cessna 208B Grand Caravan,P4-OIN,Ivolga-Avia,8,10 km from Stupino,w/o
18-Nov-05,Antonov An-2TP,RA-02252,Polyarnye Avialinii,0,31 km from Sangar,w/o
4-Nov-05,Antonov An-24RV,RA-46618,SAT Airlines,0,Yuzhno-Sakhalinsk Airport (UUS),w/o
19-Oct-05,Antonov An-2R,RA-40943,Naryan-Mar Air Enterprise,0,near Labozhskoe,w/o
4-Sep-05,Antonov An-2R,RA-00901,Blagoveshchenski ASK ROSTO Polyot,3,19 km NE of Ekimchan,w/o
20-May-05,Dassault Falcon 20C,RA-09007,Jet 2000,0,Moskva-Sheremetyevo Airport (SVO),w/o
25-Apr-05,Antonov An-2R,RA-40490,Aviakhim,0,4 km N of Verkhnyaya Khava,w/o
24-Apr-05,Antonov An-2,,Ulyanovsk ROSTO,0,Bagay-Baranovka Airport,w/o
25-Mar-05,Antonov An-2R,UR-17998,Mariupol'sky Metallurgical Combine,0,near Sakhanka,w/o
16-Mar-05,Antonov An-24RV,RA-46489,"Regional Airlines, lsf Kuzbassaviafrakht",28,"4,2 km from Varandey Airport (VRI)",w/o
13-Jan-05,Antonov An-2,RA-62597,Tura Air Enterprise,9,near Tura,w/o
xx Sep 2004,Antonov An-2T,RA-01128,Krasnoyarski ASK,,Krasnoyarsk region,w/o
24-Aug-04,Tupolev Tu-154B-2,RA-85556,Sibir Airlines,46,8 km from Gluboki,w/o
24-Aug-04,Tupolev Tu-134A-3,RA-65080,Volga-Aviaexpress,44,near Buchalki,w/o
9-Jul-04,Antonov An-2SX,RA-02230,Kostroma Air Enterprise,0,Yaroslavl Airport (IAR),sub
26-Jun-04,Lisunov Li-2T,RA-1300K,FLA RF,4,"2,2 km ENE of Moskva-Myachkovo Airport",w/o
27-Apr-04,Boeing 737-529,UR-VVB,AeroSvit Airlines,0,Moskva-Sheremetyevo Airport (SVO),sub
4-Apr-04,Antonov An-26B,UN-26582,Irbis,0,120 km from Kyzyl,sub
24-Mar-04,Antonov An-2SX,RA-33596,Mr. Plenkin,3,"within Pavlovsky district, Voronezhskaya Oblast",w/o
9-Oct-03,Antonov An-2TP,RA-01440,Mirny Air Enterprise,0,49 km from Amakinskaya,sub
xx Jun 2003,Let L-410UVP,FLARF01192,Aeroklub KVS,0,near Myachkovo Airport,w/o
24-Jun-03,Tupolev Tu-134SKh,RA-65929,Voronezh Avia,0,Nyagan Airport,w/o
16-May-03,Antonov An-3T,RA-05881,Polyarnye Avialinii,0,45 km from Sangara,w/o
11-Apr-03,Antonov An-12BP,RA-12981,Zapolyarye Airlines,0,Sredny Island,sub
1-Mar-03,Let L-410UVP,FLARF-01032,Borki Air Club,11,2 km from Borki,w/o
27-Dec-02,Antonov An-26B,RA-26053,IrAero,0,Ust-Kuyga Airport (UKG),w/o
30-Sep-02,Antonov An-2,RA-62587,Bodaibo Air Enterprise,0,68 km from Bodaybo,w/o
15-Sep-02,Ilyushin Il-18V,RA-75423,IRS Aero,0,Moskva-Bykovo Airport (BKA),sub
14-Sep-02,Antonov An-2,RA-56888,ROSTO Krasnoyarsk,13,"2,5 km from Shalinskoye",w/o
29-Aug-02,Antonov An-28,RA-28932,Vostok Aviakompania,16,"4,8 km SW of Ayan",w/o
13-Aug-02,Antonov An-2,,Unknown,0,Vagai,w/o
8-Aug-02,Antonov An-2R,RA-33322,Eisk-avia,2,"near Sladkiy Liman, Kanev district, Krasnodar region",w/o
28-Jul-02,Ilyushin Il-86,RA-86060,Pulkovo Aviation Enterprise,14,"1,1 km N of Moskva-Sheremetyevo Airport (SVO)",w/o
16-Jul-02,Tupolev Tu-134A,RA-65605,Kras Air,0,Irkutsk Airport (IKT),sub
13-Jul-02,Antonov An-24RV,RA-46670,Sakha Avia,0,Yakutsk Airport (YKS),sub
27-Jun-02,Antonov An-2R,RA-84639,Kostromskoye Avia Enterprise,0,"near Dubovoye, Lipetsk Oblast",w/o
4-Jun-02,Antonov An-2P,RA-07748,"Sibaviatrans, lsf Sibaviatrans",0,Lovozero Airfield,w/o
4-Mar-02,Tupolev Tu-134,,Russian Air Force,0,Mozdok,w/o
21-Feb-02,Antonov An-26,07 red,Aviatsiya Voenno-morskogo Flota Rossii (Russian Navy),17,"1,7 km from Lakhta Air Base",w/o
14-Jan-02,Tupolev Tu-204-100,RA-64011,Sibir Airlines,0,Omsk Airport (OMS),sub
8-Jan-02,Tupolev Tu-134A-3,RA-65004,Pulkovo Aviation Enterprise,0,Saint Petersburg-Pulkovo Airport (LED),w/o
2-Dec-01,Ilyushin Il-76TD,RA-76839,Federal Border Guard Aviation Command,18,near Novaya Inya,w/o
19-Nov-01,Ilyushin Il-18V,RA-75840,IRS Aero,27,25 km SE of Kalyazin,w/o
6-Oct-01,Antonov An-2T,RA-40480,Mirny Air Enterprise,0,12 km from Polyarnyj,w/o
23-Sep-01,Yakovlev Yak-40,RA-87481,Petropavlovsk-Kamchatsky Air Enterprise,0,Tigil Airport,w/o
5-Sep-01,Tupolev Tu-154M,UK-85776,Uzbekistan Airways,0,Ufa Airport (UFA),sub
14-Jul-01,Ilyushin Il-76TD,RA-76588,Russ Air Transport Company,10,"1,5 km from Chkalovsky Airport (CKL)",w/o
12-Jul-01,Antonov An-2R,RA-01447,Belgavia-PANKh,0,"Zenino, Veydelev district",sub
4-Jul-01,Tupolev Tu-154M,RA-85845,Vladivostokavia,145,near Burdakovka,w/o
2-Jun-01,Antonov An-2,,Volgograd Air Club,3,"Metallurg, Volgograd region",w/o
22-May-01,Antonov An-12B,RA-12135,Russian Air Force,7,"3 km from Myakotino, Zubtsov district, Tver region",w/o
27-Apr-01,Antonov An-2SX,RA-40997,Virazh Ltd,0,S of Gorkovskiy,w/o
27-Apr-01,Antonov An-2R,RA-40998,Salsk Aviation Enterprise,0,Novoaleksandrovsk,w/o
25-Apr-01,Antonov An-2R,RA-17832,Adygeya-Avia,0,Stanitsa Nekrasovskaya,w/o
23-Apr-01,Antonov An-2T,RA-01122,Yakustk Air Enterprise,0,3 km from Kobyay Airstrip,w/o
27-Jan-01,Antonov An-70,UR-NTK,Antonov Design Bureau,0,near Omsk,sub
5-Nov-00,Antonov An-24RV,RA-46499,Cheboksary Aviation Enterprise,0,Cheboksary Airport (CSY),w/o
3-Oct-00,Antonov An-12BK,,Russian Air Force,,Petrel-Burevestnik Airport (BVV),w/o
2-Aug-00,Antonov An-2R,RA-32718,Yeniseisky Meridian,0,within North-Yenisey,w/o
21-Jun-00,Ilyushin Il-76MD,RA-76723,Russian Air Force,0,Astrakhan-Privolzhskiy Air Base,w/o
16-Apr-00,Antonov An-2P,RA-33443,ShARZ ROSTO,3,"Tomuzlovskoe, Budyonnovsk district",w/o
6-Apr-00,Antonov An-2R,RA-31486,Saransk Flight Unit,0,,w/o
9-Mar-00,Yakovlev Yak-40D,RA-88170,Vologoda Air,9,Moskva-Sheremetyevo Airport (SVO),w/o
5-Dec-99,Ilyushin Il-114T,UK-91004,Tashkent Aviation Production Corporation,5,Moskva-Domodedovo Airport (DME),w/o
23-Sep-99,Tupolev Tu-134A,RA-65626,Vaynakhavia,0,Grozny Airport (GRV),w/o
22-Sep-99,Antonov An-24RV,RA-08824,Nizhni Novgorod Airlines,0,"Ukhta Airport, (UCT/UUYH)",sub
26-Jul-99,Ilyushin Il-76TD,RA-76819,Elf Air,0,Irkutsk Airport (IKT),w/o
10-Jul-99,Ilyushin Il-76MD,EW-78843,East Line,0,Krasnoyarsk-Yemelyanovo Airport,sub
8-Feb-99,McDonnell Douglas DC-9-32,MM62013,Aeronautica Militare Italiana - AMI,0,Moskva-Vnukovo Airport (VKO),w/o
unk. date 1998,Ilyushin Il-86,RA-86080,Aeroflot Russian International Airlines,0,Moskva-Sheremetyevo Airport (SVO),w/o
20-Dec-98,Antonov An-2TP,RA-02482,Nikolayevsk-na-Amure Aviation Enterprise,0,Ayan,sub
11-Nov-98,Antonov An-12B,RA-12955,Viluy,13,"5,4 km W of Krasnoyarsk Airport (KJA)",w/o
12-Oct-98,Antonov An-2R,RA-33668,Bashkirian Airlines,0,Near Sibay,w/o
24-Aug-98,Antonov An-26,RA-26568,Yenisei Meridian,0,Noril'sk Airport (NSK),sub
19-Aug-98,Antonov An-2,RA-06196,Aeroklub Togliatti,0,near Lunocharski,w/o
9-Aug-98,Tupolev Tu-154,,East Line Airlines,0,Moskva-Domodedovo Airport (DME),non
23-Jul-98,Antonov An-12,RA-11886,Norilsk Air Enterprise,0,Pushkin,w/o
8-Jul-98,Antonov An-2T,RA-02823,Yakutsk ASK ROSTO,1,near Magan,w/o
11-Apr-98,Antonov An-2R,RA-02247,Lipetsk Aviation Enterprise,0,Near Lipetsk,w/o
11-Dec-97,Antonov An-12BP,RA-12105,Russian Air Force,0+8,Naryan-Mar Airport (NNM),w/o
10-Dec-97,Ilyushin Il-62,,"Magma Airlines, lsf Rossiya",0,Moskva-Sheremetyevo Airport (SVO),non
6-Dec-97,Antonov An-124-100,08 Black,Russian Air Force,23+45,"1,6 km SE of Irkutsk-2 Airport",w/o
8-Nov-97,Antonov An-12,RA-11327,Aviaobshchemash,0,Bryansk International Airport (BZK),w/o
26-Sep-97,Let L-410UVP,RA-67474,Vostok Aviakompania,0,11 km from Khabarovsk,w/o
28-Jun-97,Antonov An-2R,RA-71272,Bashkirian Airlines,0,Novomusino,sub
26-Jun-97,Antonov An-2R,RA-68098,Tuva Avia,0,Saryg-Sep Airstrip,sub
17-Jun-97,Antonov An-2R,RA-84700,Tula Air Enterprise,4,near Tula Airport (TYA),w/o
16-Jun-97,Antonov An-2T,RA-02829,Yessentuki Air Sport Club,,near Yelizavetinskoye,w/o
5-Jun-97,Antonov An-2,RA-40464,KubanSpecAvia,0,near Krasnodar,sub
13-Apr-97,Antonov An-12B,RA-11122,Avia,0,Verkhnevilyuisk Airport,w/o
18-Mar-97,Antonov An-24RV,RA-46516,Stavropolskaya Aktsionernaya Avia,50,1 km E of Cherkessk,w/o
29-Jan-97,Yakovlev Yak-40,RA-87552,"Krasnoyarskie Avialinii, lsf Cheremshanka Airlines",0,18 km from Shushenskoye,sub
25-Jan-97,Ilyushin Il-76TD,RA-76834,Voronezh Aircraft Production Association - VASO,0,Anadyr Airport (DYR),w/o
25-Jan-97,Antonov An-26,RA-26541,Kolyma-Avia,0,Chokurdah Airport (CKH),w/o
23-Dec-96,Antonov An-72,,Federal Border Guard Aviation Command,0,Nagurskoye Air Base,w/o
17-Dec-96,Antonov An-12RR,21 red,Russian Air Force,17,8 km from Andreapol Air Base,w/o
10-Dec-96,Antonov An-74-200,RA-74037,Vostsibaero,0,Mirny Airport (MJZ),w/o
6-Dec-96,Yakovlev Yak-40,,Krasnoyarskie Avialinii,0,Boguchany,unk
